Iteration, Time, Fitness, Final Distance, Final Speed, Final Angular Speed, Final Yaw, Final Pitch, Final Roll
57, 2894.2, 0.4411173, 1.866096, 2.307215, 0.04545265, 0.006120439, 0.1966303, 0.1777513
58, 2944.1, 0.4299383, 1.262537, 2.187443, 0.05970497, 0.003674281, 0.199899, 0.1717575
59, 2994, 0.4361622, 1.540211, 3.154523, 0.1217823, 0.006710025, 0.195527, 0.1188352
60, 3043.9, 0.4215156, 1.424526, 2.713043, 0.07843747, 0.001689264, 0.1934195, 0.1202988
61, 3093.8, 0.4463108, 1.510576, 2.666388, 0.2011789, 0.008067185, 0.1908355, 0.1639281
62, 3143.7, 0.4301499, 1.192587, 1.975456, 0.0822745, 0.007432968, 0.2126569, 0.1736699
63, 3193.6, 0.4238461, 1.132244, 2.433253, 0.09214789, 0.007326507, 0.2017346, 0.1706349
64, 3243.5, 0.435534, 1.102018, 2.218313, 0.06008783, 0.006676898, 0.2042744, 0.1926105
65, 3293.4, 0.4476266, 1.36598, 2.545143, 0.08042347, 0.003935054, 0.2028794, 0.1651468
66, 3343.3, 0.4363536, 1.237776, 2.53607, 0.1563646, 0.002996884, 0.2003058, 0.1593675
67, 3393.2, 0.4291829, 1.460897, 3.010356, 0.1094085, 0.00742582, 0.2164024, 0.1341646
68, 3443.1, 0.4292341, 1.235978, 2.242011, 0.0750358, 0.006455093, 0.2010058, 0.1746451
69, 3493, 0.4255937, 1.282891, 1.893701, 0.06000025, 0.00148341, 0.2000937, 0.1822032
70, 3542.9, 0.4265598, 1.488968, 2.890366, 0.1004809, 0.009734749, 0.2025201, 0.1629081
71, 3592.8, 0.4370929, 1.612473, 2.249382, 0.07361397, 0.005894741, 0.2042548, 0.1827238
72, 3642.7, 0.4360442, 1.695974, 2.123498, 0.09601098, 0.006196904, 0.1968144, 0.2031809
73, 3692.6, 0.4273872, 1.144445, 2.956264, 0.1881386, 0.004125005, 0.1871449, 0.1560026
74, 3742.5, 0.4311007, 1.018576, 2.531188, 0.1227655, 0.008223642, 0.2117283, 0.1523539
