Iteration, Time, Fitness, Final Distance, Final Speed, Final Angular Speed, Final Yaw, Final Pitch, Final Roll
47, 2395.2, 0.6953806, 0.04203252, 0.02869384, 0.001966968, -0.01062487, 0.0001883709, 0.0002047263
48, 2445.1, 0.6785195, 0.01646781, 0.02099332, 0.002886598, -0.00218201, 0.000324956, 0.0003097306
49, 2495, 0.6900201, 0.1066228, 0.3135211, 0.0005410278, 0.0003297266, -6.168688E-05, 6.510402E-05
50, 2544.9, 0.6925248, 0.03258266, 0.01171219, 0.001070185, 0.002349724, -8.292966E-05, 0.0001495565
51, 2594.8, 0.7217658, 0.04792874, 0.2500642, 0.0009431343, -0.0006863372, -0.0001366318, 6.991239E-05
52, 2644.7, 0.7339237, 0.03309711, 0.01724639, 0.0006034597, 0.002986853, -8.949269E-06, 6.856321E-07
53, 2694.6, 0.6707731, 0.01704836, 0.003522913, 0.0002187143, 0.0001122667, -5.689443E-05, 7.738735E-05
54, 2744.5, 0.6884151, 0.02480172, 0.005012735, 0.0008636197, -0.0008908194, -0.0004065412, 0.0001721743
55, 2794.4, 0.7118002, 0.02075114, 0.02978521, 0.002759501, 0.003626353, -0.0001802465, -0.001165938
56, 2844.3, 0.6673388, 0.01025157, 0.01960352, 0.002123154, 0.0006638732, -0.0004492915, 0.0009134519
57, 2894.2, 0.7303758, 0.02571797, 0.008614955, 0.0004391943, 0.001570467, -0.0001220926, 2.828307E-07
58, 2944.1, 0.6836018, 0.0265446, 0.005887576, 0.002699418, -0.0006080345, 0.00032167, 0.0006961068
59, 2994, 0.7181557, 0.01540648, 0.004762351, 0.002149241, -0.003337909, -0.0002180299, 0.0003234766
60, 3043.9, 0.7048604, 0.02549975, 0.01277017, 0.0009691441, -0.004135447, 1.473268E-05, -0.0002096135
61, 3093.8, 0.6527456, 0.03735122, 0.3282327, 0.1064874, -0.0005196222, -0.000144835, 0.05148515
62, 3143.7, 0.6961595, 0.03141664, 0.01445407, 0.001151887, 0.000255329, 3.742571E-05, 2.164506E-05
63, 3193.6, 0.7220179, 0.02237086, 0.01689569, 0.005946578, 0.0001659855, -0.0004965645, -0.0005202777
64, 3243.5, 0.7443894, 0.02638645, 0.006696529, 0.0006994305, -0.00230106, 7.326662E-05, 1.82464E-05
65, 3293.4, 0.7397767, 0.02957821, 0.005422378, 0.003160849, -0.0001966539, -0.0004809654, 2.849376E-05
66, 3343.3, 0.7402757, 0.02067291, 0.006038857, 0.000970475, -9.861381E-09, 4.374038E-05, -0.0001176999
67, 3393.2, 0.7253934, 0.02831052, 0.01187212, 0.0003461317, -0.002611253, -4.218465E-05, -2.450542E-05
68, 3443.1, 0.6772435, 0.05836342, 0.05975273, 0.0046395, 0.002243099, -2.430397E-05, -0.0004122306
69, 3493, 0.7219887, 0.0131483, 0.01442883, 0.001927436, -0.002764584, -0.0002708496, 0.0002079358
70, 3542.9, 0.6839439, 0.01911986, 0.01143114, 0.001947931, -0.001821523, -0.000221143, -2.70633E-05
71, 3592.8, 0.7444694, 0.01262305, 0.005002496, 0.001631914, -9.031501E-08, -0.0006138156, -0.0001596534
72, 3642.7, 0.6907314, 0.03111046, 0.02310412, 0.006425405, 0.002602111, 0.001388845, 0.0006016867
73, 3692.6, 0.7380886, 0.01573114, 0.009290474, 0.001038033, -2.518417E-07, -8.070941E-05, 0.0004675236
74, 3742.5, 0.6924887, 0.006806374, 0.008915706, 0.0004768641, -2.00736E-08, -1.564073E-05, 4.280595E-05
75, 3792.4, 0.6502559, 0.02505658, 0.021132, 0.002242682, 0.0001937228, -0.0001744779, -0.0007422565
76, 3842.3, 0.723999, 0.02593704, 0.01157172, 0.0002873194, 7.113667E-09, -0.0001044311, 0.0001201235
77, 3892.2, 0.6789323, 0.07202847, 0.01622153, 0.0007168853, 8.546165E-06, 1.489446E-05, -0.0002524168
78, 3942.1, 0.6969244, 0.02699637, 0.02156617, 0.005199161, -0.004676811, 2.21616E-05, -0.0002529178
79, 3992, 0.7614515, 0.02259417, 0.001072157, 0.000155167, -7.642753E-09, 2.330704E-05, -1.499419E-05
80, 4041.9, 0.7721797, 0.02038411, 0.001140149, 0.0002051612, -9.56214E-09, -3.587046E-05, 1.656454E-05
81, 4091.8, 0.7705339, 0.02402068, 0.00983328, 0.0004036101, 0.0004517399, 7.110675E-06, -1.383679E-05
82, 4141.7, 0.7194322, 0.02902965, 0.01344508, 0.0003875133, 0.003909367, 2.511741E-05, -8.37887E-06
83, 4191.6, 0.7556984, 0.005030547, 0.002421429, 0.0001856104, 5.151963E-09, 2.612016E-05, -6.733317E-06
84, 4241.5, 0.6927965, 0.06252325, 0.0101299, 0.000248186, -0.0004880804, 1.234322E-05, 1.60232E-05
85, 4291.4, 0.7052402, 0.004851867, 0.006938386, 0.0001518823, -2.391975E-08, -1.908965E-05, -1.726496E-05
86, 4341.3, 0.7035791, 0.01186952, 0.01147174, 0.00204762, -0.003106938, 0.0004056274, 0.0003539601
87, 4391.2, 0.7397953, 0.05910425, 0.008402264, 0.001320179, -0.004740177, -5.625159E-05, 2.321776E-05
88, 4441.1, 0.6474674, 0.0218992, 0.01309044, 0.0009346598, -4.953637E-07, 0.0002355569, -0.0003439359
89, 4491, 0.7116035, 0.01567751, 0.01568391, 0.001948491, 0.003501522, -0.0001097514, -0.0006001747
90, 4540.9, 0.7177261, 0.006140474, 0.005916227, 0.001862291, 0.0001301862, -0.0006107756, -0.0001322114
91, 4590.8, 0.7576534, 0.0201421, 0.003352321, 0.0009890785, 0.00298971, 2.125085E-05, 1.577664E-05
92, 4640.7, 0.7099609, 0.08234624, 0.02099276, 0.0002030496, 1.826803E-06, -2.319262E-05, -1.950104E-06
93, 4690.6, 0.7369291, 0.0453451, 0.007884402, 0.001102082, -0.002001243, -7.158384E-05, 0.0001877935
94, 4740.5, 0.7323085, 0.04281978, 0.005805351, 0.001230282, -0.005535591, 2.619565E-05, -7.531431E-05
95, 4790.4, 0.6682384, 0.02392755, 0.01111493, 0.002839418, 0.004060798, -0.0003998059, 0.0009528118
96, 4840.3, 0.7322946, 0.03159669, 0.1685835, 0.0003583876, 0.0004797246, 0.0002127572, 8.689451E-05
97, 4890.2, 0.7322006, 0.07799102, 0.01401667, 0.0001286447, 3.964533E-09, 4.803052E-05, 1.344779E-05
98, 4940.1, 0.6941873, 0.06822561, 0.009916144, 0.001024834, 0.005077098, 9.471139E-05, 1.150703E-05
99, 4990, 0.6951029, 0.01466762, 0.003818189, 0.0004472532, -9.563058E-06, -0.0004630801, -7.080028E-05
100, 5039.9, 0.6806503, 0.00371407, 0.007226988, 0.00889025, 5.574732E-05, 0.0005935065, -0.001921761
101, 5089.8, 0.7090391, 0.004289261, 0.002268108, 0.0008496357, -6.717568E-07, 4.710076E-06, 2.990512E-05
102, 5139.7, 0.726905, 0.004270537, 0.002373487, 0.000289762, -6.036779E-07, 3.702884E-05, 4.474725E-05
103, 5189.6, 0.7305031, 0.02076861, 0.00900082, 0.0008921227, -0.005306171, 0.0001542571, -1.688282E-05
104, 5239.5, 0.7297788, 0.004683387, 0.007482423, 0.0001904583, 4.237709E-08, -8.445579E-05, 3.129688E-05
105, 5289.4, 0.7112902, 0.009524068, 0.009548115, 0.002329359, -0.005334769, -0.0001502708, 0.0002263292
106, 5339.3, 0.7388519, 0.002427028, 0.005191005, 0.0002565927, -2.857914E-09, 0.0002692012, -1.406514E-05
107, 5389.2, 0.7116041, 0.008137481, 0.0193412, 0.001199292, -0.0009588175, -0.0001032657, 0.000156382
108, 5439.1, 0.7063673, 0.00484448, 0.004878291, 0.00134417, 3.855563E-07, 9.00626E-05, 0.0003843048
109, 5489, 0.707378, 0.002703931, 0.00428574, 0.0009889997, 1.936397E-07, 5.86566E-05, 6.148653E-05
110, 5538.9, 0.71233, 0.07831749, 0.0125042, 0.0001477807, 8.755967E-09, 5.630458E-05, -1.776169E-05
111, 5588.8, 0.7458134, 0.002658822, 0.003685019, 0.0003228548, -2.727117E-07, -0.0001593377, 0.0001288509
112, 5638.7, 0.7732983, 0.04104177, 0.006272446, 0.0001338559, 1.559517E-09, -7.438236E-05, -4.440705E-06
113, 5688.6, 0.6930864, 0.01279714, 0.1596873, 0.0003629663, -3.78551E-09, -8.245813E-06, 0.0001018723
114, 5738.5, 0.7730257, 8.936131E-05, 0.0002274964, 4.750553E-05, 2.19591E-09, -5.363268E-06, -7.750748E-06
115, 5788.4, 0.7343147, 0.004528868, 0.02022234, 5.440565E-05, -1.396917E-08, -7.214499E-07, 6.549408E-08
116, 5838.3, 0.6706086, 0.01353933, 0.02809191, 0.004510333, -2.1225E-05, 0.001956635, 0.0002871513
117, 5888.2, 0.747108, 0.04677318, 0.1613019, 0.0001059184, 4.325949E-08, 4.431874E-05, 5.621865E-05
118, 5938.1, 0.7614737, 0.0002403754, 0.0002677146, 0.0002239616, 1.148478E-08, 2.126013E-05, -2.480539E-05
119, 5988, 0.7208636, 0.003526971, 0.003379276, 0.0006619017, 4.794353E-07, -0.000245928, -1.035593E-05
120, 6037.9, 0.7071372, 0.00220446, 0.004388202, 0.0009404438, -4.13156E-07, 0.0002315181, -0.0006337937
121, 6087.8, 0.7168718, 0.02294697, 0.03424094, 0.005532206, -0.001588745, -0.0006623528, 0.0004221653
122, 6137.7, 0.739652, 0.003841093, 0.004499855, 0.0002129787, -8.631098E-09, -7.994713E-07, -2.697412E-05
123, 6187.6, 0.7281613, 0.01074079, 0.0005728864, 0.0002414859, -0.0009703211, -3.003031E-05, -6.309123E-05
124, 6237.5, 0.7396755, 0.0002856957, 0.0005160554, 0.000192207, -6.203726E-09, 1.700161E-06, -1.385408E-05
125, 6287.4, 0.7280407, 0.003765941, 0.01050457, 0.0004300966, 1.404875E-07, 0.0002267191, -3.061139E-05
