Time, Input Voltage, Current, Angular Velocity, Lift Force
0.223399996757507, 45, 44.8926722187351, 531.709275206125, 885.473621050429
0.223600000143051, 45, 44.8152276513215, 531.766138178789, 885.663022879587
0.223799988627434, 45, 44.7383122329968, 531.822612614893, 885.851150600269
0.223999992012978, 45, 44.6619223530572, 531.878701165842, 886.038012633896
0.224199995398521, 45, 44.5860544253716, 531.934406464996, 886.223617348292
0.224399998784065, 45, 44.5107048882159, 531.989731127788, 886.407973057994
0.224599987268448, 45, 44.435870204107, 532.044677751848, 886.591088024569
0.224799990653992, 45, 44.3615468596396, 532.099248917124, 886.772970456917
0.224999994039536, 45, 44.2877313653223, 532.153447186, 886.953628511582
0.225199997425079, 45, 44.2144202554163, 532.207275103418, 887.13307029306
0.225400000810623, 45, 44.141610087774, 532.260735196992, 887.3113038541
0.225599989295006, 45, 44.0692974436799, 532.313829977128, 887.488337196009
0.22579999268055, 45, 43.9974789276913, 532.36656193714, 887.664178268958
0.225999996066093, 45, 43.9261511674808, 532.418933553366, 887.838834972279
0.226199999451637, 45, 43.8553108136801, 532.470947285284, 888.012315154765
0.22639998793602, 45, 43.7849545397239, 532.522605575622, 888.184626614969
0.226599991321564, 45, 43.7150790416959, 532.573910850479, 888.355777101502
0.226799994707108, 45, 43.6456810381748, 532.62486551943, 888.525774313324
0.226999998092651, 45, 43.5767572700826, 532.675471975642, 888.694625900044
0.227200001478195, 45, 43.5083045005325, 532.725732595985, 888.862339462207
0.227399989962578, 45, 43.4403195146792, 532.775649741142, 889.028922551589
0.227599993348122, 45, 43.3727991195687, 532.825225755719, 889.194382671485
0.227799996733665, 45, 43.3057401439907, 532.874462968354, 889.358727276997
0.228000000119209, 45, 43.2391394383308, 532.923363691822, 889.521963775322
0.228199988603592, 45, 43.1729938744242, 532.97193022315, 889.68409952604
0.228399991989136, 45, 43.1073003454103, 533.020164843716, 889.845141841392
0.22859999537468, 45, 43.0420557655885, 533.068069819361, 890.005097986569
0.228799998760223, 45, 42.9772570702741, 533.115647400488, 890.163975179988
0.228999987244606, 45, 42.9129012156567, 533.162899822175, 890.32178059358
0.22919999063015, 45, 42.8489851786579, 533.209829304272, 890.478521353059
0.229399994015694, 45, 42.7855059567912, 533.256438051505, 890.634204538207
0.229599997401237, 45, 42.722460568022, 533.302728253585, 890.788837183147
0.229800000786781, 45, 42.6598460506293, 533.348702085301, 890.942426276616
0.229999989271164, 45, 42.5976594630675, 533.394361706626, 891.094978762243
0.230199992656708, 45, 42.5358978838298, 533.43970926282, 891.246501538815
0.230399996042252, 45, 42.4745584113124, 533.484746884522, 891.397001460551
0.230599999427795, 45, 42.4136381636792, 533.529476687857, 891.546485337374
0.230799987912178, 45, 42.3531342787278, 533.573900774531, 891.694959935172
0.230999991297722, 45, 42.2930439137563, 533.618021231929, 891.842431976068
0.231199994683266, 45, 42.2333642454312, 533.661840133212, 891.988908138686
0.23139999806881, 45, 42.1740924696557, 533.705359537415, 892.134395058415
0.231600001454353, 45, 42.1152258014392, 533.74858148954, 892.278899327668
0.231799989938736, 45, 42.056761474768, 533.791508020654, 892.422427496146
0.23199999332428, 45, 41.9986967424759, 533.834141147984, 892.564986071097
0.232199996709824, 45, 41.9410288761169, 533.876482875008, 892.706581517576
0.232400000095367, 45, 41.8837551658378, 533.91853519155, 892.847220258698
0.23259998857975, 45, 41.8268729202522, 533.960300073873, 892.986908675897
0.232799991965294, 45, 41.7703794663148, 534.001779484771, 893.125653109182
0.232999995350838, 45, 41.7142721491974, 534.04297537366, 893.263459857383
0.233199998736382, 45, 41.6585483321649, 534.083889676668, 893.400335178411
0.233399987220764, 45, 41.6032053964524, 534.124524316727, 893.536285289505
