Time, Input, Output
0, 0, -0.00392399982458353
0.0199999995529652, 0, -0.0117714662733829
0.0399999991059303, 0, -0.0235395094988082
0.0599999986588955, 0, -0.0392213271354964
0.0799999982118607, 0, -0.0588050371985362
0.0999999940395355, 0, -0.0822726642399082
0.119999997317791, 30, -0.0856168457767646
0.140000000596046, 30, -0.0437602653843892
0.159999996423721, 30, 0.0565830116477258
0.179999992251396, 30, 0.221483653808971
0.199999988079071, 30, 0.453576835182821
0.219999998807907, 30, 0.75398376499328
0.239999994635582, 30, 1.12317761613874
0.259999990463257, 30, 1.56135740265481
0.280000001192093, 30, 2.06860671065124
0.299999982118607, 30, 2.64496062562822
0.319999992847443, 30, 3.29043387117048
0.340000003576279, 30, 4.00503262536886
0.359999984502792, 30, 4.7887594804685
0.379999995231628, 30, 5.64161552412127
0.399999976158142, 30, 6.56360121267964
0.419999986886978, 30, 7.55471673761747
0.439999997615814, 30, 8.60989891471656
0.459999978542328, 30, 9.71674669343899
0.479999989271164, 30, 10.8617740614958
0.5, 30, 12.0330489661269
0.519999980926514, 30, 13.2209002072537
0.539999961853027, 30, 14.4178650331038
0.560000002384186, 30, 15.6184186096691
0.579999983310699, 30, 16.818696167035
0.599999964237213, 30, 18.0162754270266
0.620000004768372, 30, 19.2101701408084
0.639999985694885, 30, 20.4001867723176
0.659999966621399, 30, 21.5862882175908
0.680000007152557, 30, 22.7684673554638
0.699999988079071, 30, 23.9467228185589
0.719999969005585, 30, 25.1210543442628
0.740000009536743, 30, 26.2914618821345
0.759999990463257, 30, 27.4579454224852
0.779999971389771, 30, 28.6205049634538
0.799999952316284, 30, 29.7791405046828
0.819999992847443, 30, 30.9338520461035
0.839999973773956, 30, 32.0846395877028
0.85999995470047, 30, 33.2315031294781
0.879999995231628, 30, 34.3744426714289
0.899999976158142, 30, 35.5134582135552
0.919999957084656, 30, 36.6485497558569
0.939999997615814, 30, 37.779717298334
0.959999978542328, 30, 38.9069608409865
0.979999959468842, 30, 40.0302803838144
1, 30, 41.1496759268178
1.01999998092651, 30, 42.2651474699966
1.03999996185303, 30, 43.3766950133508
1.05999994277954, 30, 44.4843185568804
1.07999992370605, 30, 45.5880181005854
1.10000002384186, 30, 46.6877936444658
1.12000000476837, 30, 47.7836451885217
1.13999998569489, 30, 48.875572732753
1.1599999666214, 30, 49.9635762771597
1.17999994754791, 30, 51.0476558217418
1.19999992847443, 30, 52.1278113664993
1.22000002861023, 30, 53.2040429114322
1.24000000953674, 30, 54.2763504565406
1.25999999046326, 30, 55.3447340018244
1.27999997138977, 30, 56.4091935472835
1.29999995231628, 30, 57.4697290929182
1.3199999332428, 30, 58.5263406387282
1.33999991416931, 30, 59.5790281847136
1.36000001430511, 30, 60.6277917308745
1.37999999523163, 30, 61.6726312772107
1.39999997615814, 30, 62.7135468237224
1.41999995708466, 30, 63.7505383704095
1.43999993801117, 30, 64.783605917272
1.45999991893768, 30, 65.81274946431
1.48000001907349, 30, 66.8379690115233
1.5, 30, 67.8592645589121
1.51999998092651, 30, 68.8766361064763
1.53999996185303, 30, 69.8900836542159
1.55999994277954, 30, 70.8996072021309
1.57999992370605, 30, 71.9052067502213
1.59999990463257, 30, 72.9068822984872
1.62000000476837, 30, 73.9046338469285
1.63999998569489, 30, 74.8984613955451
1.6599999666214, 30, 75.8883649443372
1.67999994754791, 30, 76.8743444933048
1.69999992847443, 30, 77.8564000424477
1.71999990940094, 30, 78.834531591766
1.74000000953674, 30, 79.8087391412598
1.75999999046326, 30, 80.779022690929
1.77999997138977, 30, 81.7453822407736
1.79999995231628, 30, 82.7078177907936
1.8199999332428, 30, 83.666329340989
1.83999991416931, 30, 84.6209168913599
1.86000001430511, 30, 85.5715804419061
1.87999999523163, 30, 86.5183199926278
1.89999997615814, 30, 87.4611355435249
1.91999995708466, 30, 88.4000270945974
1.93999993801117, 30, 89.3349946458453
1.95999991893768, 30, 90.2660381972687
1.9799998998642, 30, 91.1931577488674
2, 30, 92.1163533006416
2.01999998092651, 30, 93.0356248525912
2.03999996185303, 30, 93.9509724047162
2.05999994277954, 30, 94.8623959570167
2.07999992370605, 30, 95.7698955094925
2.09999990463257, 30, 96.6734710621438
2.11999988555908, 30, 97.5731226149705
2.1399998664856, 30, 98.4688501679725
