Iteration, Time, Fitness, Final Distance, Final Speed, Final Angular Speed, Final Yaw, Final Pitch, Final Roll
50, 2540.84, 0.1874011, 0.9883564, 0.6624483, 0.2066754, -0.001180418, -0.03653201, 0.02442362
51, 2590.56, 0.1759612, 0.6895231, 0.8558598, 0.2834454, 0.002288524, 0.0385785, -0.1162088
52, 2640.46, 0.165814, 1.124089, 0.928812, 0.2323453, 0.06387171, 0.06048485, -0.0132444
53, 2690.36, 0.1980759, 0.7745956, 0.5991217, 0.2907704, 0.01662005, 0.06623557, 0.04862304
54, 2740.26, 0.1790586, 1.018597, 0.8062674, 0.2248056, -0.03979065, 0.09820873, 0.01670147
55, 2790.16, 0.1861439, 1.221042, 0.8410355, 0.162613, -0.02017445, -0.0005166973, 0.05863151
56, 2840.06, 0.1994759, 0.6546738, 0.6599735, 0.2851277, 0.05943738, -0.0367458, -0.0001544589
57, 2889.96, 0.2099514, 0.458281, 0.6118901, 0.3803169, -0.01139998, -0.01163925, -0.0633067
58, 2939.48, 0.1925433, 0.6549692, 0.6536853, 0.3526721, 0.0490002, -0.06787755, 0.06157025
59, 2989.38, 0.1957779, 0.815496, 0.6382836, 0.2524424, 0.04556222, 0.02929498, -0.01172801
60, 3039.28, 0.2391372, 0.4747865, 0.5507883, 0.2374754, 0.05341824, 0.03298524, 0.02570749
61, 3089.18, 0.1965987, 0.7244973, 0.6037916, 0.3462678, -0.03258618, -0.08299979, -0.0838368
62, 3139.08, 0.2103812, 0.5829479, 0.583178, 0.3446691, 0.02441697, 0.01545786, -0.05209891
63, 3188.98, 0.2033793, 0.5978354, 0.6621835, 0.2608191, -0.01469572, 0.07417421, 0.003870811
64, 3238.88, 0.2061361, 0.9246358, 0.5992938, 0.1706088, 0.04418719, -0.04872729, -0.02782977
65, 3288.78, 0.1798632, 0.545691, 0.6774943, 0.5328314, 0.006678095, -0.06531878, -0.02334797
66, 3337.14, 0.2086633, 0.8005058, 0.5923625, 0.2388546, -0.05306001, -0.07689402, -0.08716765
67, 3387.04, 0.1967296, 0.6052611, 0.6248534, 0.3445932, -0.03993424, 0.04146075, -0.001782325
68, 3436.94, 0.2219563, 0.761027, 0.6956245, 0.07512648, -0.01973444, -0.01572666, -0.03734321
69, 3486.84, 0.1916262, 1.010265, 0.7949746, 0.1850426, 0.05658606, -0.1155712, 0.04049341
70, 3536.74, 0.1818503, 1.088351, 0.7746133, 0.3141849, 0.04414452, -0.09663137, 0.001562355
71, 3585.5, 0.2377775, 0.6738036, 0.5228842, 0.2188706, 0.01526388, 0.03508061, -0.009144334
72, 3635.4, 0.2172273, 0.6264997, 0.6054052, 0.2873722, 0.006478214, 0.00632606, -0.01947774
73, 3683.62, 0.2238249, 0.6029401, 0.5991747, 0.2449778, 0.03635176, 0.002874562, 0.06886007
74, 3733.52, 0.2140244, 0.6297871, 0.6782993, 0.1648737, -0.04386535, 0.03470906, 0.04339315
75, 3783.42, 0.1997558, 0.8606192, 0.7849886, 0.1719688, -0.00716346, -0.0801952, 0.01149904
76, 3833.32, 0.2144345, 0.6205984, 0.6375544, 0.2345377, 0.05429592, -0.008770483, -0.03527766
